Track Name,Method Name,Estimate Label,Window Size (s),Window Raster (s),Measurement Index,SDR (dB)
Sambasevam Shanmugam - Kaathaadi,2DFT,Vocals,1.0,1.0,25,1.8569853122470736
Sambasevam Shanmugam - Kaathaadi,2DFT,Vocals,1.0,1.0,26,2.741508507932731
Sambasevam Shanmugam - Kaathaadi,2DFT,Vocals,1.0,1.0,27,0.7882852702346677
Sambasevam Shanmugam - Kaathaadi,2DFT,Vocals,1.0,1.0,28,9.148166053195045
Sambasevam Shanmugam - Kaathaadi,2DFT,Vocals,1.0,1.0,29,8.069346292192902
Sambasevam Shanmugam - Kaathaadi,2DFT,Accomp,1.0,0.5,0,5.328150290021866
Sambasevam Shanmugam - Kaathaadi,2DFT,Accomp,1.0,0.5,1,8.12893298473388
Sambasevam Shanmugam - Kaathaadi,2DFT,Accomp,1.0,0.5,2,3.1848068723830507
Sambasevam Shanmugam - Kaathaadi,2DFT,Accomp,1.0,0.5,3,6.09459630713597
Sambasevam Shanmugam - Kaathaadi,2DFT,Accomp,1.0,0.5,4,11.378352022970724
Sambasevam Shanmugam - Kaathaadi,2DFT,Accomp,1.0,0.5,5,11.822677177708158
Sambasevam Shanmugam - Kaathaadi,2DFT,Accomp,1.0,0.5,6,6.747749239831044
Sambasevam Shanmugam - Kaathaadi,2DFT,Accomp,1.0,0.5,7,5.586038683139463
Sambasevam Shanmugam - Kaathaadi,2DFT,Accomp,1.0,0.5,8,6.28060490735337
Sambasevam Shanmugam - Kaathaadi,2DFT,Accomp,1.0,0.5,9,1.32292506350278
Sambasevam Shanmugam - Kaathaadi,2DFT,Accomp,1.0,0.5,10,2.4468042287127827
Sambasevam Shanmugam - Kaathaadi,2DFT,Accomp,1.0,0.5,11,2.867377147594628
Sambasevam Shanmugam - Kaathaadi,2DFT,Accomp,1.0,0.5,12,1.5107253183773173
Sambasevam Shanmugam - Kaathaadi,2DFT,Accomp,1.0,0.5,13,4.434447018074506
Sambasevam Shanmugam - Kaathaadi,2DFT,Accomp,1.0,0.5,14,5.219369473026995
Sambasevam Shanmugam - Kaathaadi,2DFT,Accomp,1.0,0.5,15,6.423976372425831
Sambasevam Shanmugam - Kaathaadi,2DFT,Accomp,1.0,0.5,16,6.09547595637811
Sambasevam Shanmugam - Kaathaadi,2DFT,Accomp,1.0,0.5,17,3.7323502654735563
Sambasevam Shanmugam - Kaathaadi,2DFT,Accomp,1.0,0.5,18,2.362736296249836
Sambasevam Shanmugam - Kaathaadi,2DFT,Accomp,1.0,0.5,19,-1.9101089516851029
Sambasevam Shanmugam - Kaathaadi,2DFT,Accomp,1.0,0.5,20,-0.04801905109736061
Sambasevam Shanmugam - Kaathaadi,2DFT,Accomp,1.0,0.5,21,-0.3390774825129542
Sambasevam Shanmugam - Kaathaadi,2DFT,Accomp,1.0,0.5,22,2.8935628906068884
Sambasevam Shanmugam - Kaathaadi,2DFT,Accomp,1.0,0.5,23,3.87904135375691
Sambasevam Shanmugam - Kaathaadi,2DFT,Accomp,1.0,0.5,24,4.434762611755024
Sambasevam Shanmugam - Kaathaadi,2DFT,Accomp,1.0,0.5,25,6.26067049837808
Sambasevam Shanmugam - Kaathaadi,2DFT,Accomp,1.0,0.5,26,5.957854459233953
Sambasevam Shanmugam - Kaathaadi,2DFT,Accomp,1.0,0.5,27,4.648812114390655
Sambasevam Shanmugam - Kaathaadi,2DFT,Accomp,1.0,0.5,28,4.360148588391054
Sambasevam Shanmugam - Kaathaadi,2DFT,Accomp,1.0,0.5,29,2.1450409806679667
Sambasevam Shanmugam - Kaathaadi,2DFT,Accomp,1.0,0.5,30,2.9619033850636676
Sambasevam Shanmugam - Kaathaadi,2DFT,Accomp,1.0,0.5,31,0.5230337670080735
Sambasevam Shanmugam - Kaathaadi,2DFT,Accomp,1.0,0.5,32,4.2063804574991375
Sambasevam Shanmugam - Kaathaadi,2DFT,Accomp,1.0,0.5,33,4.764754507951494
Sambasevam Shanmugam - Kaathaadi,2DFT,Accomp,1.0,0.5,34,7.879920416336422
Sambasevam Shanmugam - Kaathaadi,2DFT,Accomp,1.0,0.5,35,9.575918583669276
Sambasevam Shanmugam - Kaathaadi,2DFT,Accomp,1.0,0.5,36,7.2162969015083664
Sambasevam Shanmugam - Kaathaadi,2DFT,Accomp,1.0,0.5,37,4.214816998040528
Sambasevam Shanmugam - Kaathaadi,2DFT,Accomp,1.0,0.5,38,2.8217908038874167
Sambasevam Shanmugam - Kaathaadi,2DFT,Accomp,1.0,0.5,39,4.524960506126254
Sambasevam Shanmugam - Kaathaadi,2DFT,Accomp,1.0,0.5,40,6.402543977691119
Sambasevam Shanmugam - Kaathaadi,2DFT,Accomp,1.0,0.5,41,6.403308541140735
Sambasevam Shanmugam - Kaathaadi,2DFT,Accomp,1.0,0.5,42,8.246053326953858
Sambasevam Shanmugam - Kaathaadi,2DFT,Accomp,1.0,0.5,43,7.789256939145284
Sambasevam Shanmugam - Kaathaadi,2DFT,Accomp,1.0,0.5,44,6.671849175930335
Sambasevam Shanmugam - Kaathaadi,2DFT,Accomp,1.0,0.5,45,7.992314165192266
Sambasevam Shanmugam - Kaathaadi,2DFT,Accomp,1.0,0.5,46,6.607041300558328
Sambasevam Shanmugam - Kaathaadi,2DFT,Accomp,1.0,0.5,47,4.034839528809009
Sambasevam Shanmugam - Kaathaadi,2DFT,Accomp,1.0,0.5,48,2.193792031142355
Sambasevam Shanmugam - Kaathaadi,2DFT,Accomp,1.0,0.5,49,3.1598599710209356
Sambasevam Shanmugam - Kaathaadi,2DFT,Accomp,1.0,0.5,50,3.9298027138694858
Sambasevam Shanmugam - Kaathaadi,2DFT,Accomp,1.0,0.5,51,5.78036433502113
Sambasevam Shanmugam - Kaathaadi,2DFT,Accomp,1.0,0.5,52,7.427870835549388
Sambasevam Shanmugam - Kaathaadi,2DFT,Accomp,1.0,0.5,53,8.723179195608326
Sambasevam Shanmugam - Kaathaadi,2DFT,Accomp,1.0,0.5,54,9.37450061555104
Sambasevam Shanmugam - Kaathaadi,2DFT,Accomp,1.0,0.5,55,7.431636158956515
Sambasevam Shanmugam - Kaathaadi,2DFT,Accomp,1.0,0.5,56,4.250090166493254
Sambasevam Shanmugam - Kaathaadi,2DFT,Accomp,1.0,0.5,57,3.0422069190462957
Sambasevam Shanmugam - Kaathaadi,2DFT,Accomp,1.0,0.5,58,2.170765149536714
Sambasevam Shanmugam - Kaathaadi,2DFT,Vocals,1.0,0.5,0,8.605789618227199
Sambasevam Shanmugam - Kaathaadi,2DFT,Vocals,1.0,0.5,1,11.856537293036622
Sambasevam Shanmugam - Kaathaadi,2DFT,Vocals,1.0,0.5,2,10.039601102379255
Sambasevam Shanmugam - Kaathaadi,2DFT,Vocals,1.0,0.5,3,8.9964296924411
Sambasevam Shanmugam - Kaathaadi,2DFT,Vocals,1.0,0.5,4,7.104318329469535
Sambasevam Shanmugam - Kaathaadi,2DFT,Vocals,1.0,0.5,5,4.604048417550757
Sambasevam Shanmugam - Kaathaadi,2DFT,Vocals,1.0,0.5,6,7.805536192010773
Sambasevam Shanmugam - Kaathaadi,2DFT,Vocals,1.0,0.5,7,7.856304162138342
Sambasevam Shanmugam - Kaathaadi,2DFT,Vocals,1.0,0.5,8,6.368773203211299
Sambasevam Shanmugam - Kaathaadi,2DFT,Vocals,1.0,0.5,9,7.074301133417741
Sambasevam Shanmugam - Kaathaadi,2DFT,Vocals,1.0,0.5,10,8.027014684673379
Sambasevam Shanmugam - Kaathaadi,2DFT,Vocals,1.0,0.5,11,8.636928305601282
Sambasevam Shanmugam - Kaathaadi,2DFT,Vocals,1.0,0.5,12,7.719005352279521
Sambasevam Shanmugam - Kaathaadi,2DFT,Vocals,1.0,0.5,13,5.718138536104618
Sambasevam Shanmugam - Kaathaadi,2DFT,Vocals,1.0,0.5,14,6.895778940422169
Sambasevam Shanmugam - Kaathaadi,2DFT,Vocals,1.0,0.5,15,8.683902585181078
Sambasevam Shanmugam - Kaathaadi,2DFT,Vocals,1.0,0.5,16,8.383779072586009
Sambasevam Shanmugam - Kaathaadi,2DFT,Vocals,1.0,0.5,17,7.07233936167908
Sambasevam Shanmugam - Kaathaadi,2DFT,Vocals,1.0,0.5,18,5.701697078048925
Sambasevam Shanmugam - Kaathaadi,2DFT,Vocals,1.0,0.5,19,5.793965796956857
Sambasevam Shanmugam - Kaathaadi,2DFT,Vocals,1.0,0.5,20,6.118301243557363
Sambasevam Shanmugam - Kaathaadi,2DFT,Vocals,1.0,0.5,21,8.731026071019047
Sambasevam Shanmugam - Kaathaadi,2DFT,Vocals,1.0,0.5,22,9.671890866999814
Sambasevam Shanmugam - Kaathaadi,2DFT,Vocals,1.0,0.5,23,6.695820917786744
